Nimi,group1,group2,group3,_Unit,Energiaa,Rasvaa,Hiilihydraattia,Proteiinia,Suola,Ravintokuitua,group4,Sokeria
makea suippopaprika,Hedelmät ja vihannekset:1,Vihannekset:40,Paprikat:43,,0.0,,,,,,,
geisha 100g haspähknougat suklaalev,Kala:262,Kalatiski:263,Kalafile tuore palvelu:264,,0.0,,,,,,Muu tuore kalafile palvelu:267,
rypälerasia vihreä luomu,Hedelmät ja vihannekset:1,Hedelmät:2,Rypäleet:19,,0.0,,,,,,"Rypäleet, vihreät:22",
schwarzwaldin kinkku,Liha:80,Leikkeleet:226,Kokolihaleikkeleet:229,,0.0,,,,,,,
ruk. imatran riisipiirakk,Leipä:701,Kaupan paistopiste:717,Välipalatuotteet:12530,,0.0,,,,,,,
avokadopussi,Hedelmät ja vihannekset:1,Hedelmät:2,Muut hedelmät:32,,0.0,,,,,,Avokadot:12042,
iso timjami,Hedelmät ja vihannekset:1,Yrtit:79,,,0.0,,,,,,,
scotch 50mmx20m pakkausteippi ruske,Kirja-paperi-lehdet:3094,Toimistotarvikkeet:4305,Teipit ja liimat:4362,,0.0,,,,,,,
tandoorikana tasku,Leipä:701,Kaupan paistopiste:717,Välipalatuotteet:12530,,0.0,,,,,,,
bataattipussi luomu,Hedelmät ja vihannekset:1,Juurikasvit:64,"Juurikasvit, muut:11845",,0.0,,,,,,,
löfbergs lila crescendo 500g sj,Juomat:994,Kahvit ja suodatinpaperit:2609,Suodatinjauhatuskahvit:2610,,0.0,,,,,,,
hau-hau 100g täyslihaher kanakierre,Lemmikit:1337,Koiratarvikkeet:1376,Muut tarvikkeet:1396,,0.0,,,,,,,
"schwalbe winter 28"" 35-622 nastarengas 120 nastaa",Urheilu:3096,Pyöräily:3205,Pyöräilytarvikkeet:4548,,0.0,,,,,,,
green pesto,,,,,,,,,,,,
maustekurkku,Kuivatuotteet:895,Säilykkeet:941,Kurkku- ja punajsäil:944,,0.0,,,,,,,
happy joe old country dry 0,Juomat:994,Siiderit:1051,Siiderit omena kuiva:2978,,194.0,,,,,,,
ginger joe alcoholic beer 4% 33cl,Juomat:994,Oluet:1041,Muut oluet:2967,,0.0,,,,,,,
250g kirsikkatomaattirasia,Hedelmät ja vihannekset:1,Vihannekset:40,Tomaatit:41,,0.0,,,,,,,
ruistortillat 6 kpl,Kuivatuotteet:895,Tex-mex:935,"Kuoret,tortillat ja dinnerit:936",,0.0,,,,,,,
pingviini 1l/514g tof-kinusk l,,,,,,,,,,,,
sun rice 150g riisisuklaa,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,,0.0,,,,,,,
biomuovikassi 30l,,,,,,,,,,,,
pineapple slices in n/j 227g,,,,,,,,,,,,
tuna chunks in brine,Kala:262,Kalasäilykkeet:340,Tonnikalasäilykkeet:343,,0.0,,,,,,,
kotimaista viinisuolaheinä ruukussa,Hedelmät ja vihannekset:1,Yrtit:79,,,0.0,,,,,,,
kylmäs.kirjol.fileesiivu,Kala:262,Kalatiski:263,Savukalat:286,,0.0,,,,,,Kylmäsavustettu kala palvelu:289,
pedigree jumbone 180g mini,Lemmikit:1337,Koiranruoat:1338,Koiran ajanvietetuotteet:1361,,0.0,,,,,,Herkkuluut:1363,
pedigree jumbone 180g kana-r mini,,,,,,,,,,,,
kirsikkarasia,Hedelmät ja vihannekset:1,Hedelmät:2,Kivihedelmät:24,,0.0,,,,,,Kirsikat:27,
persikkarasia,Hedelmät ja vihannekset:1,Hedelmät:2,Kivihedelmät:24,,0.0,,,,,,Persikat:29,
vaihtopäät tiskiharjaan,Koti ja siivous:1521,Siivousvälineet:1566,Astiaharjat:1579,,0.0,,,,,,,
sitruuna,Hedelmät ja vihannekset:1,Hedelmät:2,Sitrushedelmät:3,,0.0,,,,,,Sitruunat:9,
rexona 50ml girl tropical power rol,Hygienia:1612,Deodorantit:1620,Deo roll-on naiset:3059,,0.0,,,,,,,
wc-puhdistusaine,Koti ja siivous:1521,Puhdistusaineet:1551,Wc-tuotteet:1559,,0.0,,,,,,,
kotimaista 0,Juomat:994,Vedet:1028,Lähde/pöytävesi:2951,,0.0,,,,,,,
classic konvehdit,,,,,,,,,,,,
pineapple tidbits in n/j 227g,Hedelmät ja vihannekset:1,Hedelmät:2,Muut hedelmät:32,,0.0,,,,,,"Hedelmät, paloitellut:12044",
wc-paperi grite orchidea gold 8 rullaa,Koti ja siivous:1521,Wc-paperit:1522,Premium-laatu:1523,,0.0,,,,,,,
always 16kpl ultra normal 1,Hygienia:1612,Intiimihygienia:2069,Siivettömät ohutsiteet:3037,,0.0,,,,,,,
ruukkusalanova crisp,Hedelmät ja vihannekset:1,Vihannekset:40,Salaatit:49,,0.0,,,,,,Erikoissalaatit:11787,
viikkokimppu,"Kukat, puutarha ja piha:3100",Leikkokukat:3352,Kukkakimput muut:3982,,0.0,,,,,,Muut leikkokukat:5832,
lumene klassikko silmänymvoide 15ml,Kosmetiikka:1697,Kasvojenhoito:2464,Kasvovoiteet:2465,,0.0,,,,,,,
loctite flex gel control pikaliima 3 g,Rakentaminen ja sisustaminen:3092,Sisustusmateriaalit:3153,Liimat:3859,,0.0,,,,,,Reaktio- ja pikaliimat:5284,
mozzarella,Juustot:417,Ruokajuustot:447,Mozzarellajuustot:2859,,0.0,,,,,,,
pure olive oil,Rasvat ja öljyt:476,Rasiamargariinit:477,,,0.0,,,,,,,
erikoistomaattirasia dunn,,,,,,,,,,,,
leipurim. kaurapatonki,Leipä:701,Kaupan paistopiste:717,Ruokaleivät:12531,,0.0,,,,,,,
kotimaista ruohosipuli ruukussa,Hedelmät ja vihannekset:1,Yrtit:79,,,0.0,,,,,,,
iso basilika,Hedelmät ja vihannekset:1,Yrtit:79,,,0.0,,,,,,,
piparminttu,Hedelmät ja vihannekset:1,Yrtit:79,,,0.0,,,,,,,
kotimaista krysanteemi,"Kukat, puutarha ja piha:3100",Ruukkukukat:3353,Kukkivat kukat:3984,,0.0,,,,,,Ruukkukrysanteemit:5838,
ruukkuruusu,"Kukat, puutarha ja piha:3100",Ruukkukukat:3353,Kukkivat kukat:3984,,0.0,,,,,,Ruukkuruusut:5839,
kotimaista tulilatva,"Kukat, puutarha ja piha:3100",Ruukkukukat:3353,Kukkivat kukat:3984,,0.0,,,,,,"Muut ruukkukukat,yhdist.:5841",
processed cheese cheddar,,,,,,,,,,,,
pf 750g sensitive sterile kalkkuna,Lemmikit:1337,Kissanruoat:1397,Kuivat kissanruoat:1398,,0.0,,,,,,Kissan sensitive ruoka:1399,
chili mayonnaise,,,,,,,,,,,,
matin helpot ristikot aikakauslehti,Kirja-paperi-lehdet:3094,Lehdet:4299,Aikakauslehdet:4316,,0.0,,,,,,,
detergent color sensitive,Koti ja siivous:1521,Pyykinpesuaineet:1536,Herkkäihoist pyykki:1540,,0.0,,,,,,,
herkkusieni luomu,Hedelmät ja vihannekset:1,Sienet:77,,,0.0,,,,,,,
hedtarha luom appelstäysme 1l,,,,,,,,,,,,
muut vihannekset,,,,,,,,,,,,
palmolive 650ml olive & milk suihku,Hygienia:1612,Saippuat ja kylpytuotteet:1613,Suihkusaippuat:1616,,0.0,,,,,,,
rainbow pikakylmäpakkaus 350 g,Urheilu:3096,Kuntoilu ja kehonhuolto:3204,Isot kuntourheilulaitteet:4542,,0.0,,,,,,,
dishwash liquid aloe vera concentra,Koti ja siivous:1521,Astianpesu:1533,Käsiast.pesuaineet:1534,,0.0,,,,,,,
sun 40tabl lemon konetiskiainetable,Koti ja siivous:1521,Astianpesu:1533,Koneast.pesuaineet:1535,,0.0,,,,,,,
bf softy koiranpehmolelu,Lemmikit:1337,Koiratarvikkeet:1376,Lelut:1384,,0.0,,,,,,,
uhu liimapuikko 21 gr ko,Kirja-paperi-lehdet:3094,Toimistotarvikkeet:4305,Teipit ja liimat:4362,,0.0,,,,,,,
xz 250ml tuuhe vanilla cafe shampoo,Hygienia:1612,Shampoot ja hoitoaineet:1644,Huuhdeltavat hiustenhoitoaineet:2108,,0.0,,,,,,,
bf gear heijastintalutin 20mmx190cm,Lemmikit:1337,Koiratarvikkeet:1376,Talutushihnat:1382,,0.0,,,,,,,
bf gear heijastinvaljas m,Lemmikit:1337,Koiratarvikkeet:1376,Liivit ja valjaat:1383,,0.0,,,,,,,
pork-punajuuri-kaurasämpy,Leipä:701,Kaupan paistopiste:717,Ruokaleivät:12531,,0.0,,,,,,,
salaattimix ruukussa,Hedelmät ja vihannekset:1,Yrtit:79,,,0.0,,,,,,,
vehnäoras ruukussa,Hedelmät ja vihannekset:1,Yrtit:79,,,0.0,,,,,,,
atria pt 600g guajillo kanan fileel,,,,,,,,,,,,
suklaa-suolakinuskicookie,Leipä:701,Kaupan paistopiste:717,Kahvileivät:12529,,0.0,,,,,,,
masaliisa irto,,,,,,,,,,,,
rucolaruukku,Hedelmät ja vihannekset:1,Vihannekset:40,Salaatit:49,,0.0,,,,,,Erikoissalaatit:11787,
erittäin hieno suom 300ml mustik sh,Hygienia:1612,Shampoot ja hoitoaineet:1644,Norm.hiusten shampoot:2104,,0.0,,,,,,,
xz 250ml herneproteiini shampoo,Hygienia:1612,Shampoot ja hoitoaineet:1644,Tuuheuttavat shampoot:2103,,0.0,,,,,,,
xz 200ml vanilla cafe hiushoito,Hygienia:1612,Shampoot ja hoitoaineet:1644,Huuhdeltavat hiustenhoitoaineet:2108,,0.0,,,,,,,
tilli ruukussa luomu,Hedelmät ja vihannekset:1,Yrtit:79,,,0.0,,,,,,,
kn n250g klf pala savustettu vak,Liha:80,Muut lihat ja lihajalosteet:230,Kokolihapalat:3028,,0.0,,,,,,,
kissanhiekkalaatikko,Lemmikit:1337,Kissatarvikkeet:1413,Muut tarvikkeet:1437,,0.0,,,,,,,
fbo garlic butter baguette incl. ba,Leipä:701,Kaupan paistopiste:717,Ruokaleivät:12531,,0.0,,,,,,,
jääsalaatti,Hedelmät ja vihannekset:1,Vihannekset:40,Salaatit:49,,0.0,,,,,,Jääsalaatit:11790,
päärynä max red bartlett,Hedelmät ja vihannekset:1,Hedelmät:2,Päärynät:17,,0.0,,,,,,,
marimekko räsymatto 20kpl ro serv,Keittiö:1448,Lautas- ja pöytäliinat:1469,24/25 cm lautasliinat:1471,,0.0,,,,,,,
marimekko vuorilaakso 20kpl ha ser,Keittiö:1448,Lautas- ja pöytäliinat:1469,24/25 cm lautasliinat:1471,,0.0,,,,,,,
