Nimi,group1,group2,group3,_Unit,Energiaa,Rasvaa,Hiilihydraattia,Proteiinia,Suola,Ravintokuitua,group4,Sokeria
tortelloni sundried tomato & scamor,Valmisruoka:497,Aterian osat:12846,Tuorepasta:12868,g,1258.0,11.0,39.0,10.0,1.1,,,5.2
atria 900g karjalanpaisti,Liha:80,Naudanliha:178,Naudan pata- ja keittolihat:179,g,364.0,4.4,3.1,8.0,0.75,1.1,,
jyväbroiler 390g filee r-app,Liha:80,"Broileri, kana & kalkkuna:186",Broilerin fileet:192,g,417.0,1.9,0.2,20.0,0.64,0.1,,
sne 150g kotim meetvurstisuikale,Liha:80,Muut lihat ja lihajalosteet:230,"Suikaleet, kuutiot ja rouheet:3023",g,905.0,10.0,1.6,29.0,5.0,,,
oatly 1l ikaffe kaurajuoma,Maito:351,"Soija-, kaura- ja muut maitojuomat:364",Ei maitopohjaiset juomat lämpimästä:1763,g,240.0,3.0,6.5,1.0,0.1,0.8,,
paprika mix,Pakasteet:1075,Vihannes- ja juurespakasteet:1087,Maustam. kasvissek:1088,g,357.0,0.7,12.0,4.9,,5.5,,
arla edam 500g 24% juusto,Juustot:417,Edam juusto:418,Edamjuustopalat:1824,g,1350.0,24.0,0.0,26.0,1.4,,,
makeasipuli,Hedelmät ja vihannekset:1,Vihannekset:40,Sipulit:44,g,127.0,0.0895,4.8,1.25,9.25,1.7,,
valkosipuli,Hedelmät ja vihannekset:1,Vihannekset:40,Valkosipulit:45,g,453.0,0.0895,16.3,7.9,0.0,2.1,,
spice up! 100g kelt thai currytahna,Leivonta ja maustaminen:807,Maustekastikkeet:867,Lämpimästä myytävät tahnat:871,g,401.0,1.3,15.0,3.6,14.0,,,
maggi 10kpl/100g kasvisliemi,Leivonta ja maustaminen:807,Liemivalmisteet:862,Kasvisliemivalmist.:866,g,992.0,5.1,40.9,5.5,40.4,1.0,,
sipuli irto,Hedelmät ja vihannekset:1,Vihannekset:40,Sipulit:44,g,127.0,0.0895,4.8,1.25,3.7,1.7,,
porkkanapussi luomu,Hedelmät ja vihannekset:1,Juurikasvit:64,"Porkkanat, pakattu:11848",g,137.0,0.164,5.56,0.62,0.02,2.55,,
philadelphia 200g original,Juustot:417,Tuorejuusto:472,Maustamattomat tuorejuustorasiat:2886,g,965.0,21.0,4.3,5.4,0.75,0.2,,
vaasan 100% kaura 400g/ 6 kpl,Leipä:701,Tuore leipä:702,Vaaleat palaleivät:703,g,950.0,4.4,37.0,9.6,1.1,8.3,,
reissumies 280g tosi tumma ruislei,Leipä:701,Tuore leipä:702,Tummat palaleivät:710,g,1040.0,3.1,37.0,11.0,1.1,9.1,,
rypälerasia tumma stön,Hedelmät ja vihannekset:1,Hedelmät:2,Rypäleet:19,g,309.0,0.4,15.5,0.8,2.25,1.1,"Rypäleet, tummat:20",
meira ruokasooda 125g tölkki,Leivonta ja maustaminen:807,Leivontatarvikkeet:827,Leivontaperustuotteet:831,g,0.0,0.0,0.0,0.0,0.0,,,
creme bonjour 200g mustapippuri,Juustot:417,Tuorejuusto:472,Maustetut tuorejuustorasiat:2887,g,1138.0,28.0,2.9,2.6,1.1,,,
elovena 10x30g voimakaura keksi,Leipä:701,Keksit:767,Välipalakeksit:778,g,1920.0,20.0,48.0,17.0,1.3,9.0,,
sne n1.0kg porsaan kasslerkyljys,Liha:80,Porsaanliha:170,Porsaan kyljykset:172,g,1033.0,21.0,0.0,15.0,0.1,,,
arla 500g norm suol vl meijerivoi,Rasvat ja öljyt:476,Käärevoi:483,,g,3000.0,80.0,1.0,1.0,0.8,,,
tuna flakes in oil. skipjack,Kala:262,Kalasäilykkeet:340,Tonnikalasäilykkeet:343,g,798.0,13.0,6.0,1.0,,12.0,,
atria 700g karjalanpaisti,Liha:80,Naudanliha:178,Naudan pata- ja keittolihat:179,g,735.0,11.0,0.0,19.0,0.1,0.0,,
alpro 750g pehm täyt mustikka soi,Maito:351,Jogurtit:390,Ei-maitopohjainen valmiste:2601,g,210.0,2.3,2.1,4.0,0.25,1.0,,
coca-cola  150 cl kmp,Juomat:994,Virvoitusjuomat:1022,Colavirvoitusjuomat:1023,g,181.0,0.0,10.6,0.0,0.0,,,
pingviini 1l/495g vanilja,Pakasteet:1075,Jäätelöt:1136,Kotipakkaukset:1138,g,798.0,10.0,22.0,2.5,0.15,0.0,,
